"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[1,12] Assis CEUS",66178.9942133333,65464.95,64642.4165889212,13816,0.95,53667.7,79036.8,NA,NA,NA,NA,NA,NA,NA
"m[2,12] Assoc CEUS",80811.55208,80927.55,80742.9698825009,13036.2,0.95,68246.6,93128,NA,NA,NA,NA,NA,NA,NA
"m[3,12] Full CEUS",107284.208246667,107304,107511.87470168,12834.7,0.95,94565.8,120477,NA,NA,NA,NA,NA,NA,NA
"m[4,12] Endow CEUS",130183.17958,130144,129323.794588662,9663.1,0.95,113076,147872,NA,NA,NA,NA,NA,NA,NA
"m[5,12] Disting CEUS",158659.805333333,158846.5,156974.76178991,3966.5,0.95,136283,178788,NA,NA,NA,NA,NA,NA,NA
"m[1,13] Assis CHEM",82882.7779666667,82704.15,82419.9251819364,13282.2,0.95,79826.2,86245.9,NA,NA,NA,NA,NA,NA,NA
"m[2,13] Assoc CHEM",105355.69554,105309,105359.591321754,4619.5,0.95,95767.4,114815,NA,NA,NA,NA,NA,NA,NA
"m[3,13] Full CHEM",137584.8358,137472,136253.724599485,1919.6,0.95,124168,151455,NA,NA,NA,NA,NA,NA,NA
"m[4,13] Endow CHEM",159797.176266667,159677,159765.628318128,2063.7,0.95,145499,174820,NA,NA,NA,NA,NA,NA,NA
"m[5,13] Disting CHEM",184652.423533333,184725.5,185029.942215263,4234.3,0.95,166097,203415,NA,NA,NA,NA,NA,NA,NA
"m[1,14] Assis CMCL",60266.6442066667,59918.9,59759.0964807822,10498.4,0.95,55367.5,66922.9,NA,NA,NA,NA,NA,NA,NA
"m[2,14] Assoc CMCL",76175.5530266667,76203.8,76386.1705037364,14041.5,0.95,71696.1,80647.2,NA,NA,NA,NA,NA,NA,NA
"m[3,14] Full CMCL",105278.226033333,105186.5,104478.140758052,5277.9,0.95,92409.7,118656,NA,NA,NA,NA,NA,NA,NA
"m[4,14] Endow CMCL",128070.484913333,127979.5,128499.717700632,5147,0.95,113745,143383,NA,NA,NA,NA,NA,NA,NA
"m[5,14] Disting CMCL",155045.609533333,155195,154924.000482878,4079.2,0.95,135205,174803,NA,NA,NA,NA,NA,NA,NA
"m[1,15] Assis CMLT",61608.1202,62122.05,62598.5299489139,10355.2,0.95,51986,69774.7,NA,NA,NA,NA,NA,NA,NA
"m[2,15] Assoc CMLT",70911.82414,70528.8,70298.9084758042,12141.5,0.95,63448.7,79751.4,NA,NA,NA,NA,NA,NA,NA
"m[3,15] Full CMLT",98461.5607066667,98324.1,98444.6594009669,10068.6,0.95,87233.1,110057,NA,NA,NA,NA,NA,NA,NA
